config,t,Vt,sp,ppo_action,selected_action,ppo_pred_rho,selected_pred_rho,predicted_gain
dir_c3_k1,18.099999999999987,498.1324617629827,500.0,0.054126255214214325,0.11412625521421432,0.03628336981576308,0.0363110794716448,2.7709655881724693e-05
dir_c3_k1,18.19999999999999,498.13247549152595,500.0,0.05412726849317551,0.1141272684931755,0.03628339436022202,0.03631110401610386,2.7709655881835715e-05
dir_c3_k1,18.29999999999999,498.1324879491165,500.0,0.05412618815898895,0.11412618815898895,0.03628341629964473,0.03631112595552645,2.7709655881717754e-05
dir_c3_k1,18.39999999999999,498.1324992440917,500.0,0.054126933217048645,0.11412693321704864,0.03628343637201601,0.036311146027897846,2.7709655881835715e-05
dir_c3_k1,18.499999999999993,498.1325094497991,500.0,0.05412726476788521,0.1141272647678852,0.03628345477516484,0.036311164431046566,2.7709655881724693e-05
dir_c3_k1,18.599999999999994,498.13251880037484,500.0,0.054126203060150146,0.11412620306015014,0.036283471218653406,0.03631118087453512,2.7709655881717754e-05
dir_c3_k1,18.699999999999996,498.1325272847548,500.0,0.054126668721437454,0.11412666872143745,0.03628348619561666,0.03631119585149838,2.7709655881724693e-05
dir_c3_k1,18.799999999999997,498.1325349155257,500.0,0.054127179086208344,0.11412717908620834,0.03628349996133159,0.03631120961721342,2.7709655881835715e-05
dir_c5_k3,18.099999999999987,498.13251948291514,500.0,0.054126668721437454,0.11412666872143745,0.03557050988054857,0.035658178161675436,8.766828112686392e-05
dir_c5_k3,18.19999999999999,498.13252713670244,500.0,0.054127179086208344,0.11412717908620834,0.03557052213876363,0.035658190419890615,8.766828112698188e-05
dir_c5_k3,18.29999999999999,498.13253413678706,500.0,0.05412757024168968,0.11412757024168968,0.03557053392356375,0.03565820220469061,8.766828112686392e-05
dir_c5_k3,18.39999999999999,498.13254065533334,500.0,0.05412757396697998,0.11412757396697998,0.03557054493221858,0.035658213213345225,8.766828112664188e-05
dir_c5_k3,18.499999999999993,498.132546785399,500.0,0.05412653461098671,0.11412653461098671,0.03557055384311286,0.035658222124239504,8.766828112664188e-05
dir_c5_k3,18.599999999999994,498.13255243462237,500.0,0.05412658676505089,0.11412658676505089,0.03557056224896951,0.03565823053009615,8.766828112663494e-05
dir_c5_k3,18.699999999999996,498.13255752957207,500.0,0.05412678420543671,0.1141267842054367,0.03557057010668268,0.03565823838780943,8.76682811267529e-05
dir_c5_k3,18.799999999999997,498.13256215433745,500.0,0.05412707477807999,0.11412707477807998,0.03557057766265632,0.0356582459437833,8.766828112698188e-05
dir_c7_k3,18.099999999999987,498.52365555240647,500.0,0.034383274614810944,0.11438327461481095,0.036328057124146315,0.03644494816564884,0.00011689104150252455
dir_c7_k3,18.19999999999999,498.5236851469286,500.0,0.03438331186771393,0.11438331186771393,0.03632810120124157,0.03644499224274409,0.00011689104150252455
dir_c7_k3,18.29999999999999,498.5237118794672,500.0,0.034382905811071396,0.1143829058110714,0.03632814039671189,0.03644503143821441,0.00011689104150252455
dir_c7_k3,18.39999999999999,498.52373597684937,500.0,0.03438286855816841,0.11438286855816841,0.03632817565579796,0.036445066697300035,0.00011689104150207352
dir_c7_k3,18.499999999999993,498.5237576369419,500.0,0.0343824103474617,0.1143824103474617,0.03632820660393759,0.036445097645440114,0.00011689104150252455
dir_c7_k3,18.599999999999994,498.52377702993664,500.0,0.03438369184732437,0.11438369184732437,0.036328236091883244,0.03644512713338577,0.00011689104150252455
dir_c7_k3,18.699999999999996,498.52379447586947,500.0,0.034382715821266174,0.11438271582126618,0.03632826106258108,0.03644515210408349,0.00011689104150241353
dir_c7_k3,18.799999999999997,498.5238101929116,500.0,0.03438346087932587,0.11438346087932587,0.036328284670358583,0.036445175711861115,0.00011689104150253149
sym_c5_k3,18.099999999999987,498.1326428524259,500.0,0.05412701517343521,0.11412701517343521,0.035570690143421645,0.035658358424548287,8.766828112664188e-05
sym_c5_k3,18.19999999999999,498.13263790581203,500.0,0.05412687361240387,0.11412687361240387,0.035570683061800536,0.03565835134292729,8.76682811267529e-05
sym_c5_k3,18.29999999999999,498.1326335101462,500.0,0.05412645637989044,0.11412645637989044,0.035570676214029165,0.03565834449515603,8.766828112686392e-05
sym_c5_k3,18.39999999999999,498.1326295438958,500.0,0.05412808805704117,0.11412808805704117,0.03557067245085205,0.035658340731978794,8.766828112674596e-05
sym_c5_k3,18.499999999999993,498.1326261190741,500.0,0.05412760004401207,0.11412760004401207,0.03557066855696667,0.03565833683809353,8.766828112686392e-05
sym_c5_k3,18.599999999999994,498.1326233190035,500.0,0.054127588868141174,0.11412758886814117,0.035570665641861184,0.035658333922987825,8.766828112664188e-05
sym_c5_k3,18.699999999999996,498.1326210236311,500.0,0.05412745475769043,0.11412745475769043,0.03557066329045415,0.0356583315715809,8.76682811267529e-05
sym_c5_k3,18.799999999999997,498.13261916693654,500.0,0.05412708967924118,0.11412708967924118,0.035570661078763464,0.035658329359890675,8.766828112721087e-05
