scenario,tol,window_s,method,sat,rho
Nominal (500),0.05,10.0,PPO,1.0,0.0439171957954327
Nominal (500),0.05,10.0,PPO+STL,1.0,0.04391719579487097
Nominal (500),0.05,10.0,PPO+CONF,1.0,0.04391719579723986
Setpoint 450 (nominal),0.05,10.0,PPO,1.0,0.046777623398034825
Setpoint 450 (nominal),0.05,10.0,PPO+STL,1.0,0.04677762342891799
Setpoint 450 (nominal),0.05,10.0,PPO+CONF,1.0,0.046777623454312835
Setpoint 550 (nominal),0.05,10.0,PPO,1.0,0.04100801232280447
Setpoint 550 (nominal),0.05,10.0,PPO+STL,1.0,0.04100801233490178
Setpoint 550 (nominal),0.05,10.0,PPO+CONF,1.0,0.04100801230200493
Rate limit (slew=0.02),0.05,10.0,PPO,1.0,0.043917195797941865
Rate limit (slew=0.02),0.05,10.0,PPO+STL,1.0,0.043917195797941865
Rate limit (slew=0.02),0.05,10.0,PPO+CONF,1.0,0.043917195797941865
